Aachen	ɑː k eː n
från	f r ɔ n
frånvaro	² f r oː n ˌv ɑː r ʊ
frö	f r øː
fröjd	ˈf r œ j d
fröken	ˈf r øː k ɛ n
frös	f r øː s
frös	/ e n . w i k t i o n a r y . o r g
fubbick	ˈf ɵ b ɪ k
ful	f ʉː l
ful	/ e n . w i k t i o n a r y . o r g
full	f ɵ l
fungera	f ɵ ŋ ˈɡ eː r a
funka	ˈf ɵ ŋ ˌk a
funktion	f ɵ ŋ k ˈɧ uː n
funktionell	f ɵ ŋ k ɧ ʊ ˈn ɛ l
fur	f ʉː r
fur	v ɨː r
fur	v ɨː r
fur	v iː r
furnera	f ɵ r ˈn eː r a
furnera	/ e n . w i k t i o n a r y . o r g
furste	/ e n . w i k t i o n a r y . o r g
fusion	f ɵ ˈɧ uː n
fusk	f ɵ s k
fusk	/ e n . w i k t i o n a r y . o r g
futurum	f ɵ ˈt ʉː r ɵ m
fy	f yː
fy	v ə
fy	ə n
fy	n
fy	ə
Fyn	f yː n
fynd	f ʏ n d
fynd	v ɨ̞ n d
fynd	v ɪ n d
fyr	f yː r
fyr	f yː r
fyr	f yː r
fyr	v ɨ̞ r
fyr	v ɨ̞ r
fyr	v ɪ r
fyr	f yː r
fyr	v ɨ̞ r
fyr	v ɨ̞ r
fyr	v ɪ r
fyra	ˈf yː ˌr a
fyrmänning	² f yː r ˌm ɛ n ɪ ŋ
fyrtal	f yː r t ɑː l
fyrtio	² f œ r t ɪ . ʊ
fyrtio	² f œ r t ɪ
fä	f ɛː
fäbod	² f ɛː ˌb uː d
fälad	² f ɛː ˌl a d
fälad	² f ɛː ˌl ɑː d
fältsångare	f ɛ l t ˈs ɔ ŋ a r ɛ
fän	f ɛː n
fänkål	f ɛː n ˈk oː l
fänrik	ˈf ɛ n r ɪ k
fänrik	/ e n . w i k t i o n a r y . o r g
färg	f ɛ r j
färsk	f ɛ r s k
färsk	/ e n . w i k t i o n a r y . o r g
färskvatten	ˈf ɛ r s k ˈv a t ɛ n
färskvatten	/ e n . w i k t i o n a r y . o r g
fäst	f ɛ s t
få	f oː
fågel	f oː ɡ ə l
fågel	f oː ɡ ɛ l
får	f oː r
fåraherde	² f oː r a ˌh eː r d ɛ
fårakläder	² f oː r a ˌk l ɛː d ɛ r
fåtal	² f oː t ɑː l
fåtal	/ e n . w i k t i o n a r y . o r g
fåtölj	f ɔ ˈt œ l j
fåtölj	f ʊ ˈt œ l j
föda	ˈf øː ˌd a
född	f œ d
född	/ e n . w i k t i o n a r y . o r g
född	/ e n . w i k t i o n a r y . o r g
födelsedag	ˈf øː d ɛ l s ɛ ˌd ɑː ɡ
födelsedag	ˈf øː l s ɛ ˌd ɑː ɡ
fönster	ˈf œ n s t ɛ r
fönstertittarsjuka	² f œ n s t ɛ r t ɪ t a r ˌɧ ʉ̟ː k a
för	f øː r
för	² f øː r
för	/ e n . w i k t i o n a r y . o r g
för	/ e n . w i k t i o n a r y . o r g
för	/ e n . w i k t i o n a r y . o r g
förbruka	ˌf œ r ˈb r ʉː k a
förbud	f œ r ˈb ʉː d
förbundskapten	f œ r ² b ɵ n d s k a p ˌt eː n
förbutik	f øː r b ʉː t iː k
fördriva	f œ r ˈɖ r iː v a
fördöma	ˌf ɵ r ˈd ɵ m a
före	² f øː r ɛ
före	/ e n . w i k t i o n a r y . o r g
före	/ e n . w i k t i o n a r y . o r g
förebrå	ˈf øː r ɛ ˌb r oː
föregångare	ˌf øː r ɛ ˈɡ ɔ ŋ a r ɛ
förena	f œ r eː n a
förening	f œ r ˈeː n ɪ ŋ
förete	ˌf øː r ɛ ˈt eː
förgänglig	f œ r ˈj ɛ ŋ l ɪ ɡ
förgäves	f œ r ˈj ɛː v ɛ s
förhoppning	/ e n . w i k t i o n a r y . o r g
förlåt	/ e n . w i k t i o n a r y . o r g
förnuftig	f œ ˈɳ ɵ f t i ɡ
förr	/ e n . w i k t i o n a r y . o r g
förr	/ e n . w i k t i o n a r y . o r g
förr	/ e n . w i k t i o n a r y . o r g
förra	/ e n . w i k t i o n a r y . o r g
förra	/ e n . w i k t i o n a r y . o r g
förra	/ e n . w i k t i o n a r y . o r g
förrän	ˈf œ r ɛ n
försiktighet	f øː r ˈs ɪ k t ɪ ɡ ˌh eː t
förskolelärare	ˌf øː r s k uː l ɛ ˈl ɛː r a r ɛ
förskollärare	ˌf øː r s k uː l ɛ ˈl ɛː r a r ɛ
förskräcklig	f œ r ˈs k r ɛ k l ɪ ɡ
först	/ e n . w i k t i o n a r y . o r g
först	/ e n . w i k t i o n a r y . o r g
först	/ e n . w i k t i o n a r y . o r g
första	/ e n . w i k t i o n a r y . o r g
första	/ e n . w i k t i o n a r y . o r g
första	/ e n . w i k t i o n a r y . o r g
förste	/ e n . w i k t i o n a r y . o r g
förste	/ e n . w i k t i o n a r y . o r g
förste	/ e n . w i k t i o n a r y . o r g
förstå	f œ r ˈs t oː
förstå	/ e n . w i k t i o n a r y . o r g
förstå	/ e n . w i k t i o n a r y . o r g
förstås	f ɶ ˈʂ t ɔ s
förstås	f ɶ ˈʂ t oː s
förstöra	f œ ʂ ʈ œː r a
försvarare	f øː r ˈs v ɑː r a r ɛ
försvarstal	f œ r ² s v ɑː r s ˌt ɑː l
försöka	f œ r s øː k a
försöka	/ e n . w i k t i o n a r y . o r g
förträfflig	f œ r ˈʈ r ɛ f l ɪ ɡ
förut	ˈf øː ˌr ʉː t
förut	f œ ˈr ʉː t
förut	ˈf øː r ʉː t
förut	ˈf øː r ʉː t
förut	ˈf øː r ʉː t
förvirring	f øː r ˈv ɪ r ɪ ŋ
förvärra	f œ̞ r ˈv æ r ˌa
förvärras	f œ̞ r ˈv æ r ˌa s
förälder	f œ r ¹ ɛ l d æ r
förälder	/ e n . w i k t i o n a r y . o r g
förälskad	f œ r ˈɛ l s k a d
förälskelse	f œ r ˈɛ l s k ɛ l s ɛ
g	ɡ eː
g	ɡ
g	j
g	ɧ
g	ɡ
g	j
g	ɧ
g	ɡ
g	ɟ
g	ɟ eː
g	ɡ ~ ʁ
g	ɛ ɡ
g	ɛ ɡ
g	ɛ ɡ
g	ɛ ɡ
g	ɡ ə
g	ɡ
g	ɡ í
g	ɡ
g	j
g	ɧ
g	ɡ
g	j
g	ɧ
g	ɡ
g	ɟ
g	ɟ eː
g	ɡ ~ ʁ
g	ɛ ɡ
g	ɛ ɡ
g	ɛ ɡ
g	ɛ ɡ
g	ɡ ə
g	ɡ
g	ɡ í
Gabbe	² ɡ a b ɛ
Gabriel	ɡ ɑː b r ɪ ɛ l
Gabriel	ɡ a b ɾ i ˈe l
Gabriel	ɡ a b ɾ i ˈe l
Gabriel	/ e n . w i k t i o n a r y . o r g
gadd	ɡ a d
gadd	ɡ aː ð
gaffel	ˈɡ a fː ɛ l
gaffel	ˈɡ a f ɛ l
gagn	/ e n . w i k t i o n a r y . o r g
galax	ɡ a ˈl a k s
galär	ɡ a ˈl ɛ r
gammal	² ɡ a mː a l
gammal	/ e n . w i k t i o n a r y . o r g
gamme	² ɡ a m ɛ
gammeldans	² ɡ a m ɛ l ˌd a n s
gammelgädda	² ɡ a m ɛ l ˌj ɛ d a
gammelmedia	² ɡ a m ɛ l ˌm eː d ɪ a
garage	ɡ a ˈr ɑː ɕ
garage	ɡ a ˈr ɑː ɧ
garanti	ɡ a r a n ˈt ɪ
garanti	ɡ a . ɾ a n . t i
gas	ɡ ɑː s
gas	ɡ a s
gas	ɡ aː s
gas	ɡ aː s
gas	ɡ ɔ s
gas	ɡ j äː s
gas	ɡ oː s
gas	ɡ ɒː s
gas	ɡ ɑː s
gata	ˈɡ ɑː ˌt a
gata	ɡ a ˈt a ʔ
gata	ˈŋ a . t a
gata	ˈŋ a . t a
gatukök	/ e n . w i k t i o n a r y . o r g
gav	ɡ ɑː v
ge	j eː
ge	ɡ eː
ge	ɟ e
ge	ɡ é
ge	ɡ ɛ
gelé	ɧ ɛ ˈl eː
gem	ɡ eː m
gem	j eː m
gem	ɡ e m
gem	/ e n . w i k t i o n a r y . o r g
gemen	j ɛ ˈm eː n
gen	j eː n
gen	ɟ ɛ n
gen	ɣ ɛ n
gen	ɣ ɛ n
gen	ɣ ɛ n
gen	ɣ ɛ n
gen	² j eː n
gen	² j eː ɳ
gen	k eː n ˨˦
gen	k eː n ˨˦
gen	ɡ e n ˧
general	j ɛ n ɛ ˈr ɑː l
generös	ɧ ɛ n ɛ ˈr øː s
genitiv	ˈj eː n ɪ t iː v
genom	ˈj eː n ɔ m
genom	j eː n oː m
genom	j eː n oː m
genre	¹ ɧ a ŋ ɛ r
genre	/ e n . w i k t i o n a r y . o r g
genren	ɧ a ŋ ɛ r n
genrep	² j eː n ˌr eː p
genrer	ɧ a ŋ r a r
genrerna	ɧ a ŋ r a r n a
gentil	ɧ a ŋ ˈt iː l
Georg	ˈj eː ɔ r j
ger	j eː r
ger	ɡ ɛ r
germanium	j ɛ r ˈm ɑː n ɪ ɵ m
Gert	j æ ʈ
Gert	ɡ æ ʈ
Gert	/ e n . w i k t i o n a r y . o r g
gest	ɧ ɛ s t
gest	ɡ ɛ s t
get	j eː t
geting	ˈj eː ˌt ɪ ŋ
getruta	ˈj eː t ˌr ʉː t a
geväder	j ɛ ˈv ɛː d e r
gevär	j ɛ ˈv ɛː r
gevär	/ e n . w i k t i o n a r y . o r g
gevär	/ e n . w i k t i o n a r y . o r g
gick	j ɪ k
gifter	² j ɪ f t ɛ r
gifter	¹ j ɪ f t ɛ r
gifter	¹ j ɪ f t ɛ r
giftig	ˈj ɪ f ˌt ɪ ɡː
gin	j ɪ n
gin	d ʒ ɪ n
gin	ɡ ĩ̄
gipsplatta	ˌj ɪ p s ˈp l a t a
gipsskiva	ˌj ɪ p s ˈɧ iː v a
gir	j iː r
gir	i r
giraff	ɧ ɪ r ˈa f
giraff	/ e n . w i k t i o n a r y . o r g
giraff	/ e n . w i k t i o n a r y . o r g
gita	² j iː t a
gita	/ e n . w i k t i o n a r y . o r g
gitarr	j ɪ ˈt a r
gitta	² j ɪ t a
gitta	² ɡ ɪ t a
gitta	² ɡ ɪ t a
giva	ˈj iː ˌv a
giva	/ e n . w i k t i o n a r y . o r g
gjord	j ʊ ɖː
gjord	j uː r d
gjorde	ˈj ʊ ˌɖ ɛ
gjort	j ʊ ʈ
gjuta	² j ʉː t a
gjuta	/ e n . w i k t i o n a r y . o r g
glad	ɡ l ɑː d
gladlynt	ˈɡ l ɑː d ˌl yː n t
gladlynt	ˈɡ l ɑː d ˌl ʏ n t
glas	ɡ l ɑː s
glas	ɡ l aː s
glas	ɡ l aː s
glashus	² ɡ l ɑː s h ʉː s
glashus	/ e n . w i k t i o n a r y . o r g
glasmästarsill	² ɡ l ɑː s m ɛ s t a r ˌs ɪ l
glass	ɡ l a s
glassmaskin	ˈɡ l a s m a ˌɧ iː n
glatt	ɡ l a tː
gluttsnäppa	ˌɡ l ɵ t ˈs n ɛ p a
gluttsnäppa	/ e n . w i k t i o n a r y . o r g
glögg	ɡ l œ ɡ
gnag	ɡ n ɑː ɡ
gned	ɡ n eː d
gnid	ɡ n iː d
gnids	ɡ n iː d s
god	ɡ uː d
god	ɡ uː
goddag	ɡ ʊ dː ɑː ɡ
golv	ɡ ɔ l v
gott	ɡ ɔ t
gradu	ˈɡ r ɑ d ʉ
gran	ɡ r ɑː n
gransångare	ɡ r ɑː n ˈs ɔ ŋ a r ɛ
grattis	¹ ɡ r a t ɪ s
gratäng	ɡ r a ˈt ɛ ŋ
gratäng	/ e n . w i k t i o n a r y . o r g
grav	ɡ r ɑː v
gravand	ˌɡ ɾ ɑː v ˈa n d
gravand	/ e n . w i k t i o n a r y . o r g
gravitation	ɡ r a v ɪ t a ˈɧ uː n
gravlax	ˈɡ r ɑː v ˌl a k s
green	ɡ r iː n
green	/ e n . w i k t i o n a r y . o r g
grej	ɡ r ɛ j
grej	/ e n . w i k t i o n a r y . o r g
Grekland	ˈɡ r eː k l a n d
grep	ɡ r eː p
grina	ˈɡ r iː ˌn a
grip	ɡ r iː p
grip	ɡ ɾ i p
grip	ɡ ɾ i p
groda	² ɡ r uː d a
gross	ɡ r ɔ s
grov	ˈɡ r uː v
grund	ɡ r ɵ n d
grym	ɡ r ʏ m
grym	ɡ r ɨ̞ m
grym	ɡ r ɪ m
grym	/ e n . w i k t i o n a r y . o r g
grymta	ɡ r ʏ m ˈt a
gryning	ˈɡ r yː ˌn ɪ ŋ
gryta	ˈɡ r yː ˌt a
gräddbulle	² ɡ r ɛ d ˌb ɵ l ɛ
gräddfil	ˈɡ r ɛ dː ˌf iː l
gräsand	ˌɡ ɾ ɛː s ˈa n d ˈa n d
gräsand	/ e n . w i k t i o n a r y . o r g
grät	ɡ r ɛː t
gråben	² ɡ r oː ˌb eː n
grågam	ɡ r oː ˈɡ ɑː m
grågås	ˈɡ ɾ oː ˌɡ oː s
grågås	/ e n . w i k t i o n a r y . o r g
gråhakedopping	ˌɡ ɾ oː h ɑː k ɛ ˈd ɔ p ɪ ŋ
gråhakedopping	/ e n . w i k t i o n a r y . o r g
gråhäger	ɡ r oː ˈh ɛ ɡ ɛ r
gråspett	ɡ r oː ˈs p ɛ t
gråspett	/ e n . w i k t i o n a r y . o r g
gråsäl	ɡ r oː ˈs ɛː l
gråsäl	/ e n . w i k t i o n a r y . o r g
gråt	ɡ r oː t
gråtrut	ˌɡ r oː ˈt r ʉː t
grön	ˈɡ r øː n
grön	/ e n . w i k t i o n a r y . o r g
grönbena	ˌɡ r øː n ˈb eː n a
grönkål	ˌɡ r øː n ˈk oː l
grönsångare	ɡ r øː n ˈs ɔ ŋ a r ɛ
gröt	ɡ r øː t
gubbe	ˈɡ ɵ ˌb ɛ
Gud	ɡ ʉː d
Gud	/ e n . w i k t i o n a r y . o r g
gud	ɡ ʉː d
gud	ɡ u d
gud	ɡ u d
gud	/ e n . w i k t i o n a r y . o r g
guding	² ɡ ʉː ˌd ɪ ŋ
Guds	ˈɡ ɵ tː s
gul	ɡ ʉː l
gul	h i s
gul	ɡ u l
gul	ɡ u l ˧
gula	² ɡ ʉː . ˌl a
gula	/ e n . w i k t i o n a r y . o r g
guld	ɡ ɵ l d
gullgosse	² ɡ ɵ l ˌɡ ɔ s ɛ
gullviva	ˌɡ ɵ l ˈv iː v a
gump	ɡ ɵ m p
gump	/ e n . w i k t i o n a r y . o r g
gungfly	² ɡ ɵ ŋ ˌf l yː
Gurra	² ɡ ɵ r a
guru	ˈɡ ʉ̟ː r ɵ
guru	/ e n . w i k t i o n a r y . o r g
guss	ɡ ɵ s
guss	ɡ ɵ z
gym	ˈj ʏ m
gymma	² j ʏ m a
gymnasium	j ʏ m ˈn ɑː s ɪ ɵ m
gymnasium	j ʏ m ˈn ɑː s ɪ ɛ
gyros	ˈɡ yː r ʊ s
gyros	ˈj yː r ʊ s
gäl	j ɛː l
gäl	ɡ ɛː l
gäl	ɡ ɛː l
gäri	ˈɡ ɛː r ɪ
gäri	/ e n . w i k t i o n a r y . o r g
gäri	/ e n . w i k t i o n a r y . o r g
gärna	² j ɛː r n a
gärna	/ e n . w i k t i o n a r y . o r g
gäst	j ɛ s t
gästfri	² j ɛ s t ˌf r iː
gästfri	/ e n . w i k t i o n a r y . o r g
gästfrihet	j ɛ s t f r iː h eː t
gästgiveri	j æ ɧ ɪ v ɛ ˈr iː
gästgiveri	j æ s t j iː v ɛ ˈr iː
gästgiveri	j æ s t j ɪ v ɛ ˈr iː
gästgiveri	j æ s t j iː v ɛ ˈr iː
gästgiveri	j æ s t j ɪ v ɛ ˈr iː
Gävle	ˈj ɛː v l ɛ
gå	ɡ oː
gång	ɡ ɔ ŋ
gången	ˈɡ ɔ ŋ ˌe n
gången	ˈɡ ɔ ŋ e n
gången	ˈɡ ɔ ŋ e n
gångjärn	ɡ ɔ ŋ j ɛː r n
gångjärn	/ e n . w i k t i o n a r y . o r g
gård	ɡ oː r d
gås	ɡ oː s
gåskarl	ˈɡ oː s ˌk ɑː r
gåstol	ˌɡ oː ˈs t uː l
gått	ɡ ɔ t
gök	j øː k
gök	ɟ ø c
göktyta	j øː k ˈt yː t a
göl	j øː l
göl	/ w w w . s v t . s e
göl	ɟ œ l
göra	² j øː r a
göra	ɔ
göra	ɔ
göra	ɔ
göra	² ɡ œː r a
göra	² ɡ œː r a
Göran	ˈj øː ˌr a n
gördel	ˈj œ r ˌd ɛ l
göt	ɡ øː t
göt	/ e n . w i k t i o n a r y . o r g
Göteborg	j œ t ɛ ˈb ɔ r j
göteborgska	j œ t e ² b ɔ r j s k a
gött	j œ t
gött	ɔ
gött	œ
gött	ɡ œ t
gött	ɡ œ t
ha	h ɑː
ha	h a
ha	ˈh ɑː ˌv a
ha	h a
ha	h à
ha	h à
ha	h à
ha	h à
ha	h à
ha	h à
ha	h ā
ha	h ā
ha	h á
ha	h á
ha	h a ˨˦
ha	h a ˧
hade	² h a dː ɛ
haft	ˈh a f t
hage	h ɑː ɡ ɛ
hagtorn	ˈh a k t uː r n
hagtorn	² h ɑː ɡ ˌt uː r n
hagtorn	² h ɑː ɡ ˌt uː r n
haj	ˈh a j
haj	h a ˥
haj	h a ˥
hall	h a l
hallon	ˈh a l ˌɔ n
hallå	h a ˈl oː
hallåa	/ e n . w i k t i o n a r y . o r g
halmbock	² h a l m ˌb ɔ k
Halmstad	ˈh â l m s t a d
halv	ˈh a l v
halvlek	² h a l v ˌl eː k
hambo	ˈh a m b ʊ
hambo	h a m ˈb o
hambo	h a m ˈb o
hambo	/ e n . w i k t i o n a r y . o r g
han	h a nː
han	h a n
hand	h a n d
handduk	/ e n . w i k t i o n a r y . o r g
handduk	/ e n . w i k t i o n a r y . o r g
handflata	/ e n . w i k t i o n a r y . o r g
handikapp	ˈh a n d ɪ k a p
handikapp	² h a n d i ˌk a p
handskrift	h a n d ˈs k r ɪ f t
handsprit	/ e n . w i k t i o n a r y . o r g
handtryck	² h a n d ˌt r ʏ k
Hans	h ɑː n s
hantverk	h a n t ˈv ɛ r k
har	h ɑː r
har	h a r
hara	h ɑː r a
hat	h ɑː t
hata	² h ɑː t a
hata	ˈhʲ a . t a
hata	h a . t aː
hata	ɣ a t a
hatt	h a t
hav	h ɑː v
hav	h aː v
hav	/ e n . w i k t i o n a r y . o r g
havre	² h ɑː v r ɛ
havssula	h a v ˈs ʉː l a
havstrut	ˌh a v s ˈt r ʉː t
havsörn	h a v s ˈøː r n
heat	ˈh iː t
hej	ˈh ɛ jː
hej	/ e n . w i k t i o n a r y . o r g
hekto	ˈh ɛ k t ʊ
hel	h eː l
hel	h ɛ l
hel	s u b j u n c t i v e
helg	h ɛ l j
helga	ˈh ɛ l ˌɡ a
helig	ˈh eː ˌl ɪ ɡ
helium	ˈh eː l ɪ ɵ m
Helsingborg	h ɛ l s ɪ ŋ ˈb ɔ r j
Helsingfors	h ɛ l s ɪ ŋ ˈf ɔ r s
Helsingfors	/ e n . w i k t i o n a r y . o r g
Helsingör	ˈh ɛ l s ɪ ŋ ˌøː r
helvete	ˈh ɛ l ˌv ɛ t ɛ
helvete	ˈh ɛ l ˌv eː t ɛ
hem	h ɛ m
hem	h e m
hembränd	² h ɛ m ˌb r ɛ n d
hembränd	/ e n . w i k t i o n a r y . o r g
hembränt	² h ɛ m ˌb r ɛ n t
hemester	h ɛ ˈm ɛ s t ɛ r
hemläxa	² h ɛ m ˌl ɛ k s a
hemmaplan	² h ɛ m a ˌp l ɑː n
hemul	h e ˈm ʉː l
hen	h ɛ n
hen	h eː n
hen	h eː n
hen	h eː n
hen	h eː n
hen	h eː n
hen	h eː n
hen	/ e n . w i k t i o n a r y . o r g
hen	h eː n
hen	h eː n
hen	h eː n
hen	h eː n
hen	h eː n
hen	/ e n . w i k t i o n a r y . o r g
henne	ˈh ɛ nː ɛ
henom	ˈh ɛ n ˌɔ m
hens	h ɛ n s
Herbert	¹ h æ r b æ ʈ
herdestund	² h eː r d ɛ ˌs t ɵ n d
herr	ˈh ɛ r
herr	/ e n . w i k t i o n a r y . o r g
herre	h ɛ̄ rː ɛ̂
hertz	h æ r t s
hertz	/ e n . w i k t i o n a r y . o r g
hertz	/ e n . w i k t i o n a r y . o r g
hertz	/ e n . w i k t i o n a r y . o r g
hertz	/ e n . w i k t i o n a r y . o r g
het	h eː t
het	h ɛ t
heta	h eː t a
hetvägg	ˈh eː t ˌv ɛ ɡ
hia	² h iː a
hia	/ e n . w i k t i o n a r y . o r g
hia	/ e n . w i k t i o n a r y . o r g
hia	/ e n . w i k t i o n a r y . o r g
hia	/ e n . w i k t i o n a r y . o r g
hialös	² h iː a ˌl øː s
Himalaya	h ɪ ¹ m ɑː l a j a
Himalaya	h ɪ m a ² l a jː a
Himalaya	h ɪ m a ² l a jː a
himalayagyllenmes	h i ˌm ɑː l ɪ j a j ʏ l ɛ n ˈm eː s
himalayagyllenmes	/ e n . w i k t i o n a r y . o r g
hinsidan	² h iː n ˌs iː d a n
hinsidan	² h ɪ n ˌs iː d a n
hispa	² h ɪ s p a
hispa	/ e n . w i k t i o n a r y . o r g
hispig	² h ɪ s p ɪ ɡ
hispig	/ e n . w i k t i o n a r y . o r g
hispig	/ e n . w i k t i o n a r y . o r g
hitta	ˈh ɪ t ˌa
hjord	j uː ɖ
hjort	j ʊ r t
hjorta	j ʊ r t a
hjortron	ˈj ʊ ʈ ˌr ɔ n
hjul	j ʉː l
hjul	/ e n . w i k t i o n a r y . o r g
hjälm	j ɛ l m
hjälp	j ɛ l p
hjälpa	j ɛ l pː a
hjälte	ˈj ɛ l ˌt ɛ
hjärna	² j ɛː ɳ a
hjärta	ˈj ɛ r ˌt a
hjärta	/ e n . w i k t i o n a r y . o r g
hjärtinfarkt	² j ɛ r t ɪ n ˌf a r k t
hjärtlig	² j æ ʈ l ɪ ɡ
hockeyfrilla	ˈh ɔ k ʏ ˌf r ɪ l a
hockeyfrilla	ˈh ɔ k ɪ ˌf r ɪ l a
holm	h ɔ l ˈm ɛ
homofili	h u . m u . f i . l iː
homofili	/ e n . w i k t i o n a r y . o r g
homosex	ˈh uː m ʊ ˌs e k s
hon	h ʊ n
hon	h uː n
hon	h ɔ n
hon	h uː n
hon	h ɔ n
honom	ˈh ɔ nː ɔ m
honung	ˈh oː ˌn ɵ ŋ
hoppa	ˈh ɔ ˌp a
hoppa	/ e n . w i k t i o n a r y . o r g
hoppa	/ e n . w i k t i o n a r y . o r g
hoppa	/ e n . w i k t i o n a r y . o r g
hoppa	/ e n . w i k t i o n a r y . o r g
hoppa	/ e n . w i k t i o n a r y . o r g
hoppeligen	² h ɔ p ɛ ˌl iː ɡ ɛ n
hoppeligen	ˈh ɔ pː e ˌl iː ɡ e n
hoppeligen	ˈh ɔ pː e ˌl iː ɡ e n
hor	h uː r
hor	/ e n . w i k t i o n a r y . o r g
hornuggla	h ʊ r n ˈɵ ɡ l a
horoskop	ˌh ʊ . r ʊ . ˈs k oː p
hos	h ʊ s
hos	h uː s
hos	h uː s
hot	h uː t
hot	h uː t
hot	/ e n . w i k t i o n a r y . o r g
hot	/ e n . w i k t i o n a r y . o r g
hotell	h ʊ ˈt ɛ lː
hov	h uː v
hov	h oː v
hov	h oː v
hud	h ʉː d
hud	h ɨː d
hud	h ɨː d
hud	h iː d
Huddinge	h ɵ dː ɪ ŋ ɛ
hudsonspov	ˌh ɑ d s ɔ n ˈs p uː v
hudsonspov	/ e n . w i k t i o n a r y . o r g
huggmejsel	ˈh ʊ ɡ ˌm ɛ j s ɛ l
humle	ˈh ɵ m ˌl ɛ
hund	h ɵ n d
hundra	ˈh ɵ n d r a
hungrig	ˈh ɵ ŋ ˌr ɪ ɡ
hur	h ʉː r
hur	/ e n . w i k t i o n a r y . o r g
hurring	² h ɵ r ɪ ŋ
hurring	/ e n . w i k t i o n a r y . o r g
hus	h ʉː s
hus	/ e n . w i k t i o n a r y . o r g
husdjur	ˈh ʉː s ˌj ʉː r
husmanskost	² h ʉ̟ː s m a n s ˌk ɔ s t
hussvala	h ʉː s ˈs v ɑː l a
hustru	h ɵ̄ sː t r ʉ̂ː
huv	h ʉː v
huv	h u ˧˦
huv	h u ˧˦
huve	/ e n . w i k t i o n a r y . o r g
huve	/ e n . w i k t i o n a r y . o r g
huvud	² h ʉː v ɵ d
huvud	² h ɵ vː ɵ d
huvud	² h ʉː v ɛ
huvud	² h œ vː ɛ
huvud	² h ʉː ɛ
huvud	ˈh ʉ v ʉ
huvud	² h ʉː v ɛ
huvud	² h œ vː ɛ
huvud	² h ʉː ɛ
huvud	ˈh ʉ v ʉ
huvud	ˈh ʉ v ʉ
huvudspråk	² h ʉː v ɵ d ˌs p r oː k
huvudspråk	² h ʉː v ɛ ˌs p r oː k
huvudspråk	² h ʉː v ɛ ˌs p r oː k
hyf	h yː f
hygglig	ˈh ʏ ɡ ˌl ɪ ɡ
hylla	h ʏ lː a
hyperdrift	² h yː p ɛ r ˌd r ɪ f t
hyrkanmes	h ʏ ɾ k a n ˈm eː s
hyrkanmes	/ e n . w i k t i o n a r y . o r g
häftig	ˈh ɛ f ˌt ɪ ɡ
hägna	ˈh ɛ ŋ ˌn a
häl	h ɛː l
häll	h ɛ l
hällregn	ˈh ɛ l ˌr ɛ ŋ n
här	h æː r
här	/ e n . w i k t i o n a r y . o r g
häradshövding	ˈh æː r a d s ˌh œ v d ɪ ŋ
häradsrätt	ˈh æː r a d s ˌr ɛ t
härför	h æː r ˈf øː r
härk	ˈh ɛ r k
härk	/ e n . w i k t i o n a r y . o r g
härlig	ˈh ɛː r ˌl ɪ ɡ
härlig	/ e n . w i k t i o n a r y . o r g
härmsångare	h ɛ r m ˈs ɔ ŋ a r ɛ
härold	² h ɛː r ɔ l d
håg	h oː ɡ
håla	ˈh oː ˌl a
hålla	/ e n . w i k t i o n a r y . o r g
håna	² h oː n a
hår	h oː r
hård	/ e n . w i k t i o n a r y . o r g
hårdrockare	h oː r d ˈr o k a r ɛ
hårt	h oː ʈ
håv	h oː v
håv	/ e n . w i k t i o n a r y . o r g
hö	h øː
hö	/ e n . w i k t i o n a r y . o r g
höbal	h øː ˈb ɑː l
hög	h øː ɡ
höga	h øː ɡ a
högkvarter	ˌh øː ɡ ˈk v a r t eː r
högljudd	² h øː ɡ j ɵ d
högljutt	² h øː ɡ j ɵ t
högsvenska	ˈh øː ɡ ˌs v e n s k ɑ
högsvenska	² h øː ɡ ˌs v ɛ n s k a
högsvenska	² h øː ɡ ˌs v ɛ n s k a
högtid	ˈh œ kː ˌt iː d
högtid	ˈh øː ɡ ˌt iː d
hök	h øː k
hölja	h œ l j a
höna	² h øː n a
höna	/ e n . w i k t i o n a r y . o r g
höna	/ e n . w i k t i o n a r y . o r g
höra	² h øː r a
höra	/ e n . w i k t i o n a r y . o r g
höra	/ e n . w i k t i o n a r y . o r g
hörsel	/ e n . w i k t i o n a r y . o r g
hörsel	/ e n . w i k t i o n a r y . o r g
hörsel	/ e n . w i k t i o n a r y . o r g
höst	h œ s t
höstas	² h œ s t a s
höstas	/ e n . w i k t i o n a r y . o r g
höstdagjämning	ˈh œ s t d ɑː ɡ j ɛ m n ɪ ŋ
i	iː
i	iː
i	ˈi
i	ˈi
i	i
i	iː
i	i
i	iː
i	iː
i	iː
i	iː
i	iː
i	ð i
i	i
i	i ³ ³
i	ʔ i ³ ¹
i	i ⁴ ⁴
i	ʔ i ² ²
i	i
i	í
i	í
i	ī
i	í
i	i ˧
i	i ˥˧
i	iː
i	ˈi
i	ˈi
i	i
i	iː
i	i
i	iː
i	iː
i	iː
i	iː
i	iː
i	ð i
i	i
i	i ³ ³
i	ʔ i ³ ¹
i	i ⁴ ⁴
i	ʔ i ² ²
i	i
i	í
i	í
i	ī
i	í
i	i ˧
i	i ˥˧
I	iː
I	iː
I	ɪ
I	ɯː
I	ɯː
I	iː
